Sujeto;Canal;Coeficiente;Mediana;RMS;Curtosis;Norma;Entropia;Condicion
Subject00;EEG T4;cA8;0.000023;0.000181;38.819068;0.001279;2.550533;0
Subject00;EEG T4;cD8;0.000018;0.000091;8.445704;0.000646;2.921246;0
Subject00;EEG T4;cD7;0.000107;0.000465;0.730295;0.003291;3.053557;0
Subject00;EEG T4;cD6;0.001488;0.002709;0.012145;0.019159;3.339342;0
Subject00;EEG T4;cD5;0.000391;0.002154;18.057775;0.015233;2.905792;0
Subject00;EEG T4;cD4;0.005423;0.026356;11.093158;0.186367;3.070215;0
Subject00;EEG T4;cD3;0.192130;1.261928;33.358369;8.923180;2.789262;0
Subject00;EEG T4;cD2;39.308381;231.552724;32.798495;1637.325012;3.003590;0
Subject00;EEG T4;cD1;9323.616056;107678.683621;44.101516;761403.273779;1.869353;0
Subject00;EEG C3;cA8;0.000006;0.000057;40.491139;0.000401;2.241628;0
Subject00;EEG C3;cD8;0.000000;0.000057;17.454293;0.000400;2.219185;0
Subject00;EEG C3;cD7;0.000204;0.000359;-0.279903;0.002537;3.424812;0
Subject00;EEG C3;cD6;0.001160;0.002116;-0.595923;0.014963;3.361980;0
Subject00;EEG C3;cD5;0.000338;0.001923;20.110125;0.013597;2.807771;0
Subject00;EEG C3;cD4;0.007696;0.021829;7.208325;0.154354;3.237115;0
Subject00;EEG C3;cD3;0.150952;1.065042;35.320922;7.530981;2.732623;0
Subject00;EEG C3;cD2;31.784880;195.780413;33.039489;1384.376576;2.900686;0
Subject00;EEG C3;cD1;8263.719036;97644.853842;44.318446;690453.382999;1.834668;0
Subject00;EEG C4;cA8;0.000018;0.000163;40.343523;0.001153;2.301210;0
Subject00;EEG C4;cD8;0.000012;0.000064;6.411050;0.000453;2.786050;0
Subject00;EEG C4;cD7;0.000218;0.000404;-0.290053;0.002856;3.335685;0
Subject00;EEG C4;cD6;0.001228;0.002178;-0.700556;0.015401;3.427569;0
Subject00;EEG C4;cD5;0.000137;0.001551;9.450126;0.010969;2.673916;0
Subject00;EEG C4;cD4;0.004293;0.021039;15.020100;0.148766;3.032726;0
Subject00;EEG C4;cD3;0.131239;0.945106;32.049054;6.682909;2.617264;0
Subject00;EEG C4;cD2;30.358665;186.007222;30.166659;1315.269683;2.875779;0
Subject00;EEG C4;cD1;8689.554632;102676.565889;44.318453;726032.960088;1.825880;0
Subject00;EEG T5;cA8;0.000026;0.000237;40.299540;0.001675;2.321399;0
Subject00;EEG T5;cD8;0.000000;0.000045;33.401338;0.000320;1.560315;0
Subject00;EEG T5;cD7;0.000344;0.000645;0.040870;0.004563;3.332825;0
Subject00;EEG T5;cD6;0.001556;0.003063;0.754458;0.021662;3.251708;0
Subject00;EEG T5;cD5;0.000631;0.002900;6.135593;0.020504;3.126985;0
Subject00;EEG T5;cD4;0.006561;0.032102;7.477838;0.226995;3.024905;0
Subject00;EEG T5;cD3;0.237519;1.529374;36.912432;10.814304;2.947476;0
Subject00;EEG T5;cD2;81.761555;242.199201;35.972554;1712.606972;3.079249;0
Subject00;EEG T5;cD1;9534.512891;110097.824026;44.131193;778509.179625;1.886790;0
Subject00;EEG T6;cA8;0.000011;0.000099;41.326822;0.000702;2.314594;0
Subject00;EEG T6;cD8;0.000012;0.000069;10.936704;0.000489;2.691809;0
Subject00;EEG T6;cD7;0.000091;0.000404;1.007272;0.002855;3.039943;0
Subject00;EEG T6;cD6;0.000594;0.002298;-0.652552;0.016249;3.237529;0
Subject00;EEG T6;cD5;0.000214;0.001272;14.635297;0.008996;2.752295;0
Subject00;EEG T6;cD4;0.002836;0.015947;16.192091;0.112764;2.839251;0
Subject00;EEG T6;cD3;0.312584;0.998070;34.502336;7.057420;2.870528;0
Subject00;EEG T6;cD2;30.427063;182.207051;33.976512;1288.398412;2.976516;0
Subject00;EEG T6;cD1;7420.546629;83829.189767;43.619423;592761.885456;1.876808;0
Subject00;EEG P3;cA8;0.000000;0.000158;37.740771;0.001116;2.286991;0
Subject00;EEG P3;cD8;0.000018;0.000092;3.801355;0.000648;2.852354;0
Subject00;EEG P3;cD7;0.000258;0.000489;0.918061;0.003456;3.320717;0
Subject00;EEG P3;cD6;0.001334;0.002504;0.245320;0.017707;3.326546;0
Subject00;EEG P3;cD5;0.000788;0.001954;9.720187;0.013818;2.985572;0
Subject00;EEG P3;cD4;0.007518;0.022759;11.461123;0.160929;3.178892;0
Subject00;EEG P3;cD3;0.166157;1.093362;33.069566;7.731234;2.797085;0
Subject00;EEG P3;cD2;38.465574;225.803076;25.949837;1596.668863;2.890235;0
Subject00;EEG P3;cD1;9839.457660;112419.840670;43.820067;794928.316774;1.863319;0
Subject00;EEG P4;cA8;0.000019;0.000161;41.057552;0.001137;2.449764;0
Subject00;EEG P4;cD8;0.000017;0.000088;5.850610;0.000625;2.804151;0
Subject00;EEG P4;cD7;0.000232;0.000426;-0.231605;0.003010;3.382674;0
Subject00;EEG P4;cD6;0.000453;0.001818;-0.170334;0.012857;3.178232;0
Subject00;EEG P4;cD5;0.000225;0.001265;9.100977;0.008947;2.857809;0
Subject00;EEG P4;cD4;0.002715;0.015114;19.593780;0.106875;2.867840;0
Subject00;EEG P4;cD3;0.147744;0.967246;33.911247;6.839464;2.801032;0
Subject00;EEG P4;cD2;35.128058;202.222929;28.716266;1429.932044;2.991981;0
Subject00;EEG P4;cD1;9877.270684;112782.688752;43.940922;797494.040166;1.870771;0
Subject00;EEG O1;cA8;0.000020;0.000173;40.077116;0.001222;2.381749;0
Subject00;EEG O1;cD8;0.000017;0.000089;6.173555;0.000631;2.860205;0
Subject00;EEG O1;cD7;0.000238;0.000432;0.120170;0.003055;3.369470;0
Subject00;EEG O1;cD6;0.000523;0.002032;0.692595;0.014367;3.292930;0
Subject00;EEG O1;cD5;0.000240;0.001371;12.966062;0.009694;2.805410;0
Subject00;EEG O1;cD4;0.003549;0.018060;19.834684;0.127701;3.020626;0
Subject00;EEG O1;cD3;0.165570;1.055244;34.820155;7.461701;2.889248;0
Subject00;EEG O1;cD2;35.154913;190.551302;26.286894;1347.401175;3.044751;0
Subject00;EEG O1;cD1;8920.568308;99663.150617;43.349474;704724.896357;1.909609;0
Subject00;EEG O2;cA8;0.000011;0.000099;38.298971;0.000699;2.274073;0
Subject00;EEG O2;cD8;0.000000;0.000057;5.842978;0.000401;2.517024;0
Subject00;EEG O2;cD7;0.000088;0.000358;1.146035;0.002529;3.210995;0
Subject00;EEG O2;cD6;0.000290;0.001277;1.981996;0.009033;3.094855;0
Subject00;EEG O2;cD5;0.000083;0.000591;23.983222;0.004180;2.580452;0
Subject00;EEG O2;cD4;0.001702;0.009295;12.739981;0.065726;2.864441;0
Subject00;EEG O2;cD3;0.126844;0.791532;34.654437;5.596974;2.866185;0
Subject00;EEG O2;cD2;28.493540;158.594132;26.180429;1121.429862;2.956079;0
Subject00;EEG O2;cD1;7939.460824;89606.937019;43.804617;633616.728073;1.890950;0
Subject00;EEG Fz;cA8;0.000007;0.000140;40.648683;0.000987;2.180722;0
Subject00;EEG Fz;cD8;0.000011;0.000065;6.197532;0.000457;2.685502;0
Subject00;EEG Fz;cD7;0.000276;0.000479;-0.523231;0.003385;3.457051;0
Subject00;EEG Fz;cD6;0.000530;0.002008;0.666173;0.014196;3.345466;0
Subject00;EEG Fz;cD5;0.000130;0.001491;12.430176;0.010542;2.685260;0
Subject00;EEG Fz;cD4;0.004389;0.021619;8.621891;0.152872;2.990550;0
Subject00;EEG Fz;cD3;0.164770;1.109970;36.318534;7.848670;2.841770;0
Subject00;EEG Fz;cD2;30.470278;187.880831;32.858829;1328.518096;2.920408;0
Subject00;EEG Fz;cD1;8782.897764;103824.105214;44.233296;734147.288472;1.786950;0
Subject00;EEG Cz;cA8;0.000000;0.000065;36.961632;0.000460;2.132682;0
Subject00;EEG Cz;cD8;0.000000;0.000053;10.119404;0.000376;2.412261;0
Subject00;EEG Cz;cD7;0.000000;0.000138;5.682477;0.000974;2.417441;0
Subject00;EEG Cz;cD6;0.000000;0.000525;10.022855;0.003712;1.794894;0
Subject00;EEG Cz;cD5;0.000000;0.001498;12.556254;0.010595;2.731723;0
Subject00;EEG Cz;cD4;0.003784;0.018850;9.321761;0.133291;2.981718;0
Subject00;EEG Cz;cD3;0.135408;0.960730;34.440781;6.793388;2.704955;0
Subject00;EEG Cz;cD2;29.041902;178.128925;33.764477;1259.561707;2.927759;0
Subject00;EEG Cz;cD1;7677.391369;90677.760141;44.403990;641188.590983;1.829936;0
Subject00;EEG Pz;cA8;0.000020;0.000163;40.947578;0.001154;2.554243;0
Subject00;EEG Pz;cD8;0.000015;0.000079;10.092767;0.000559;2.831830;0
Subject00;EEG Pz;cD7;0.000263;0.000464;0.643133;0.003278;3.477695;0
Subject00;EEG Pz;cD6;0.001336;0.002372;0.500286;0.016776;3.470330;0
Subject00;EEG Pz;cD5;0.000422;0.002089;11.616483;0.014769;3.076113;0
Subject00;EEG Pz;cD4;0.004660;0.022554;16.114679;0.159478;3.135839;0
Subject00;EEG Pz;cD3;0.154170;1.017286;32.606341;7.193297;2.757931;0
Subject00;EEG Pz;cD2;36.423857;207.264228;30.540685;1465.579408;3.010296;0
Subject00;EEG Pz;cD1;9465.859427;109239.462841;44.250408;772439.649482;1.909705;0
Subject00;EEG A2-A1;cA8;0.000204;0.001753;41.453149;0.012394;2.418569;0
Subject00;EEG A2-A1;cD8;0.000000;0.000666;13.590898;0.004708;2.241259;0
Subject00;EEG A2-A1;cD7;0.000000;0.002452;11.790673;0.017340;2.394162;0
Subject00;EEG A2-A1;cD6;0.000000;0.008294;13.537116;0.058650;2.142380;0
Subject00;EEG A2-A1;cD5;0.003923;0.017727;7.737945;0.125347;3.157636;0
Subject00;EEG A2-A1;cD4;0.049274;0.230800;9.059350;1.632001;3.113536;0
Subject00;EEG A2-A1;cD3;2.118972;13.833499;34.473711;97.817607;2.864487;0
Subject00;EEG A2-A1;cD2;582.696145;2191.295636;28.064008;15494.800038;3.005828;0
Subject00;EEG A2-A1;cD1;121349.123576;1355312.718730;43.411168;9583508.140422;1.897651;0
Subject01;EEG Fp1;cA8;0.000000;0.000086;33.280800;0.000612;2.078374;0
Subject01;EEG Fp1;cD8;0.000036;0.000165;2.675673;0.001166;3.034414;0
Subject01;EEG Fp1;cD7;0.000294;0.001180;0.441923;0.008343;3.201706;0
Subject01;EEG Fp1;cD6;0.000879;0.003582;1.886674;0.025330;3.215948;0
Subject01;EEG Fp1;cD5;0.005923;0.010437;0.458179;0.073802;3.448401;0
Subject01;EEG Fp1;cD4;0.036189;0.069470;3.276122;0.491225;3.378956;0
Subject01;EEG Fp1;cD3;0.379101;1.307884;14.861907;9.248137;3.112221;0
Subject01;EEG Fp1;cD2;8.987026;64.918437;38.087210;459.042673;2.694463;0
Subject01;EEG Fp1;cD1;1791.511663;19263.541035;43.336621;136213.804953;2.012899;0
Subject01;EEG Fp2;cA8;0.000000;0.000067;34.783549;0.000477;2.063137;0
Subject01;EEG Fp2;cD8;0.000032;0.000150;5.642105;0.001062;3.002333;0
Subject01;EEG Fp2;cD7;0.000548;0.001057;-0.073229;0.007475;3.276124;0
Subject01;EEG Fp2;cD6;0.000714;0.002921;1.187550;0.020656;3.219311;0
Subject01;EEG Fp2;cD5;0.005790;0.009593;0.005098;0.067831;3.557600;0
Subject01;EEG Fp2;cD4;0.031010;0.061904;4.141659;0.437727;3.341454;0
Subject01;EEG Fp2;cD3;0.189986;1.117209;19.902131;7.899858;2.958997;0
Subject01;EEG Fp2;cD2;12.067971;77.253867;34.059124;546.267331;2.861654;0
Subject01;EEG Fp2;cD1;2295.107195;24330.301369;43.556734;172041.210862;2.057812;0
Subject01;EEG F3;cA8;0.000000;0.000066;36.782443;0.000469;2.253601;0
Subject01;EEG F3;cD8;0.000019;0.000085;3.646793;0.000603;3.067252;0
Subject01;EEG F3;cD7;0.000258;0.000622;-0.553151;0.004396;3.393023;0
Subject01;EEG F3;cD6;0.000582;0.002373;0.162465;0.016780;3.152356;0
Subject01;EEG F3;cD5;0.005043;0.008550;-0.451038;0.060459;3.509882;0
Subject01;EEG F3;cD4;0.021778;0.039831;2.427060;0.281649;3.434983;0
Subject01;EEG F3;cD3;0.105351;0.587514;16.529451;4.154350;2.923552;0
Subject01;EEG F3;cD2;0.000000;21.044596;36.219709;148.807763;2.282533;0
Subject01;EEG F3;cD1;0.000000;7434.617094;42.851795;52570.681629;1.808835;0
Subject01;EEG F4;cA8;0.000000;0.000054;34.742213;0.000381;2.389626;0
Subject01;EEG F4;cD8;0.000014;0.000064;2.756856;0.000449;3.022434;0
Subject01;EEG F4;cD7;0.000118;0.000484;1.061009;0.003421;3.177107;0
Subject01;EEG F4;cD6;0.000485;0.002010;1.254923;0.014214;3.123778;0
Subject01;EEG F4;cD5;0.003513;0.008400;-0.608583;0.059394;3.403179;0
Subject01;EEG F4;cD4;0.014510;0.037238;2.247821;0.263313;3.399486;0
Subject01;EEG F4;cD3;0.183053;1.107132;20.028617;7.828605;2.874399;0
Subject01;EEG F4;cD2;14.642106;86.796942;31.708455;613.747060;2.946275;0
Subject01;EEG F4;cD1;3068.654208;30836.539538;43.447726;218047.262155;2.220540;0
Subject01;EEG F7;cA8;0.000000;0.000096;31.652881;0.000682;2.131724;0
Subject01;EEG F7;cD8;0.000043;0.000194;3.032305;0.001370;3.059475;0
Subject01;EEG F7;cD7;0.000396;0.001591;1.546463;0.011252;3.244530;0
Subject01;EEG F7;cD6;0.002519;0.004933;0.413826;0.034882;3.251344;0
Subject01;EEG F7;cD5;0.008434;0.014861;1.433233;0.105086;3.454213;0
Subject01;EEG F7;cD4;0.022822;0.085696;1.310886;0.605965;3.419906;0
Subject01;EEG F7;cD3;0.523499;1.333126;10.175104;9.426623;3.086392;0
Subject01;EEG F7;cD2;8.038420;59.992684;39.057264;424.212339;2.635383;0
Subject01;EEG F7;cD1;1675.801788;18267.008195;43.196913;129167.253663;1.933458;0
Subject01;EEG F8;cA8;0.000004;0.000073;33.131287;0.000514;2.294343;0
Subject01;EEG F8;cD8;0.000019;0.000093;4.426981;0.000659;2.891985;0
Subject01;EEG F8;cD7;0.000294;0.000804;2.912205;0.005684;3.284470;0
Subject01;EEG F8;cD6;0.001528;0.003910;0.122772;0.027649;3.258158;0
Subject01;EEG F8;cD5;0.003090;0.012521;0.127705;0.088539;3.162029;0
Subject01;EEG F8;cD4;0.027065;0.074088;4.362776;0.523883;3.293000;0
Subject01;EEG F8;cD3;0.275315;1.515483;15.490562;10.716080;3.069997;0
Subject01;EEG F8;cD2;13.869603;91.265783;33.052851;645.346543;2.749049;0
Subject01;EEG F8;cD1;3043.205364;32272.328406;43.486535;228199.822606;2.052870;0
Subject01;EEG T3;cA8;0.000006;0.000102;37.088119;0.000720;2.418846;0
Subject01;EEG T3;cD8;0.000017;0.000097;10.598695;0.000684;2.676547;0
Subject01;EEG T3;cD7;0.000179;0.000707;-0.517555;0.005001;3.218633;0
Subject01;EEG T3;cD6;0.002940;0.005173;-1.135703;0.036575;3.415314;0
Subject01;EEG T3;cD5;0.005002;0.012325;-0.979361;0.087147;3.317696;0
Subject01;EEG T3;cD4;0.005797;0.022851;1.617073;0.161584;3.268491;0
Subject01;EEG T3;cD3;0.012900;0.074756;16.464010;0.528605;2.764027;0
Subject01;EEG T3;cD2;0.000000;2.061195;39.302578;14.574849;1.901263;0
Subject01;EEG T3;cD1;0.000000;688.434878;42.624934;4867.969708;1.660180;0
Subject01;EEG T4;cA8;0.000000;0.000030;29.152841;0.000209;2.276100;0
Subject01;EEG T4;cD8;0.000000;0.000063;6.134892;0.000444;2.604284;0
Subject01;EEG T4;cD7;0.000146;0.000656;3.726105;0.004639;3.062052;0
Subject01;EEG T4;cD6;0.000968;0.003934;0.943102;0.027814;3.183277;0
Subject01;EEG T4;cD5;0.006347;0.011538;0.949548;0.081585;3.396578;0
Subject01;EEG T4;cD4;0.028414;0.051421;2.926526;0.363599;3.471976;0
Subject01;EEG T4;cD3;0.237376;1.368982;17.319658;9.680167;2.978773;0
Subject01;EEG T4;cD2;13.119279;83.572999;34.912062;590.950340;2.866247;0
Subject01;EEG T4;cD1;2584.060447;27069.806198;43.286935;191412.435277;2.083849;0
Subject01;EEG C3;cA8;0.000000;0.000037;33.657699;0.000265;2.022924;0
Subject01;EEG C3;cD8;0.000005;0.000062;16.484303;0.000442;2.714515;0
Subject01;EEG C3;cD7;0.000130;0.000498;0.963303;0.003523;3.308349;0
Subject01;EEG C3;cD6;0.001197;0.003042;0.958706;0.021511;3.321113;0
Subject01;EEG C3;cD5;0.005244;0.009090;0.112985;0.064279;3.487106;0
Subject01;EEG C3;cD4;0.018749;0.030950;-0.976117;0.218851;3.539727;0
Subject01;EEG C3;cD3;0.070249;0.438369;22.739902;3.099735;2.789376;0
Subject01;EEG C3;cD2;0.000000;14.038212;33.611565;99.265146;2.191061;0
Subject01;EEG C3;cD1;0.000000;5192.310345;42.333613;36715.178550;1.749437;0
Subject01;EEG C4;cA8;0.000008;0.000067;39.050808;0.000472;2.377551;0
Subject01;EEG C4;cD8;0.000013;0.000067;3.678605;0.000471;2.878423;0
Subject01;EEG C4;cD7;0.000125;0.000513;1.012574;0.003625;3.162723;0
Subject01;EEG C4;cD6;0.000703;0.002838;1.670227;0.020066;3.218980;0
Subject01;EEG C4;cD5;0.004814;0.008752;0.682144;0.061888;3.413542;0
Subject01;EEG C4;cD4;0.019143;0.035789;3.470907;0.253063;3.411522;0
Subject01;EEG C4;cD3;0.330421;1.230027;19.652144;8.697606;3.043934;0
Subject01;EEG C4;cD2;17.441547;71.166830;34.126811;503.225482;2.906166;0
Subject01;EEG C4;cD1;2519.303623;25664.768102;43.465604;181477.315628;2.185814;0
Subject01;EEG T5;cA8;0.000012;0.000093;33.578908;0.000654;2.445942;0
Subject01;EEG T5;cD8;0.000024;0.000123;5.522722;0.000873;2.884467;0
Subject01;EEG T5;cD7;0.000382;0.001006;1.918465;0.007115;3.283730;0
Subject01;EEG T5;cD6;0.001623;0.006264;0.136692;0.044296;3.258259;0
Subject01;EEG T5;cD5;0.007234;0.018364;0.644881;0.129855;3.307110;0
Subject01;EEG T5;cD4;0.035226;0.061872;1.153211;0.437502;3.499187;0
Subject01;EEG T5;cD3;0.067030;0.364560;11.846935;2.577826;2.791163;0
Subject01;EEG T5;cD2;2.087850;17.904453;39.191928;126.603605;2.346480;0
Subject01;EEG T5;cD1;0.000000;4627.140995;43.312187;32718.827752;1.664473;0
Subject01;EEG T6;cA8;0.000000;0.000092;41.551830;0.000648;2.060262;0
Subject01;EEG T6;cD8;0.000008;0.000087;4.585133;0.000616;2.666622;0
Subject01;EEG T6;cD7;0.000118;0.000574;4.107458;0.004061;2.913745;0
Subject01;EEG T6;cD6;0.001461;0.005905;0.970230;0.041754;3.206781;0
Subject01;EEG T6;cD5;0.001889;0.008866;3.625101;0.062693;3.058809;0
Subject01;EEG T6;cD4;0.019294;0.083968;6.996095;0.593741;3.250029;0
Subject01;EEG T6;cD3;0.270091;1.620999;21.383413;11.462194;2.874763;0
Subject01;EEG T6;cD2;12.635603;84.289988;30.929664;596.020223;2.737907;0
Subject01;EEG T6;cD1;2496.340201;27192.926113;43.328180;192283.024546;1.956287;0
Subject01;EEG P3;cA8;0.000010;0.000081;35.615384;0.000576;2.315186;0
Subject01;EEG P3;cD8;0.000015;0.000075;7.859526;0.000533;2.985469;0
Subject01;EEG P3;cD7;0.000157;0.000581;-0.240904;0.004107;3.386418;0
Subject01;EEG P3;cD6;0.002027;0.003622;-0.615621;0.025615;3.388204;0
Subject01;EEG P3;cD5;0.003997;0.007450;-0.276465;0.052682;3.315316;0
Subject01;EEG P3;cD4;0.019053;0.038271;5.677064;0.270620;3.365328;0
Subject01;EEG P3;cD3;0.131861;0.712293;13.685383;5.036670;2.950818;0
Subject01;EEG P3;cD2;3.659170;28.714576;36.573944;203.042714;2.433725;0
Subject01;EEG P3;cD1;0.000000;9327.721566;42.779978;65956.951723;1.835320;0
Subject01;EEG P4;cA8;0.000009;0.000079;38.420918;0.000558;2.338035;0
Subject01;EEG P4;cD8;0.000019;0.000084;6.675816;0.000597;3.107850;0
Subject01;EEG P4;cD7;0.000140;0.000561;-0.331955;0.003967;3.209121;0
Subject01;EEG P4;cD6;0.000762;0.003076;0.145979;0.021748;3.208372;0
Subject01;EEG P4;cD5;0.000780;0.003480;1.318655;0.024605;3.078075;0
Subject01;EEG P4;cD4;0.006431;0.034402;15.631094;0.243259;2.939997;0
Subject01;EEG P4;cD3;0.202535;1.179232;21.333002;8.338427;2.878593;0
Subject01;EEG P4;cD2;8.832081;56.621834;30.361290;400.376827;2.789298;0
Subject01;EEG P4;cD1;1888.395010;19107.347708;42.105849;135109.351345;2.093143;0
Subject01;EEG O1;cA8;0.000015;0.000119;38.977572;0.000843;2.471118;0
Subject01;EEG O1;cD8;0.000012;0.000070;11.618720;0.000496;2.721782;0
Subject01;EEG O1;cD7;0.000119;0.000504;0.647005;0.003567;3.128190;0
Subject01;EEG O1;cD6;0.001637;0.003007;0.166458;0.021266;3.365289;0
Subject01;EEG O1;cD5;0.000516;0.002840;7.580620;0.020080;2.823868;0
Subject01;EEG O1;cD4;0.005439;0.028604;10.303305;0.202260;2.985983;0
Subject01;EEG O1;cD3;0.192810;1.125916;15.916348;7.961426;2.884977;0
Subject01;EEG O1;cD2;7.666838;47.398176;32.509297;335.155719;2.921692;0
Subject01;EEG O1;cD1;1391.039729;14255.273067;42.307880;100800.002530;2.080586;0
Subject01;EEG O2;cA8;0.000009;0.000083;40.340094;0.000588;2.284225;0
Subject01;EEG O2;cD8;0.000019;0.000088;9.130962;0.000619;3.160195;0
Subject01;EEG O2;cD7;0.000274;0.000687;1.086410;0.004858;3.381747;0
Subject01;EEG O2;cD6;0.001643;0.003053;0.217000;0.021591;3.322078;0
Subject01;EEG O2;cD5;0.000473;0.002426;5.818833;0.017155;2.935754;0
Subject01;EEG O2;cD4;0.003973;0.027067;28.276957;0.191392;2.692645;0
Subject01;EEG O2;cD3;0.201274;1.094681;15.129257;7.740560;3.008239;0
Subject01;EEG O2;cD2;10.265928;60.508045;32.664999;427.856492;2.989673;0
Subject01;EEG O2;cD1;1924.509156;19169.888770;42.436559;135551.583438;2.181004;0
